Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
47,clonostachys rosea 1003,GH12,3.2.1.4,AAM77707.1,Q8NJZ0,
48,clonostachys rosea 1003,GH12,3.2.1.4,AAM77708.1,Q8NJY9,
49,clonostachys rosea 1003,GH12,3.2.1.4,AAM77709.1,Q8NJY8,
50,emericella desertorum cbs 653.73,GH12,3.2.1.4,AAM77702.1,Q8NJZ5,
51,fomitopsis palustris ffpri 0507,GH12,3.2.1.4,BAF49602.1,A4PID1,
52,fusarium equiseti cbs 185.34,GH12,3.2.1.4,AAM77703.1,Q8NJZ4,
53,fusarium graminearum ph-1,GH12,3.2.1.4,XP_391213.1,,
54,fusarium graminearum ph-1,GH12,3.2.1.4,SCB65334.1,I1RUJ7,
55,fusarium graminearum ph-1,GH12,3.2.1.4,XP_383205.1,,
56,fusarium striatum cbs 203.32,GH12,3.2.1.4,AAM77704.1,Q8NJZ3,
57,fusarium striatum cbs 203.32,GH12,3.2.1.4,AAM77705.1,Q8NJZ2,
58,gloeophyllum trabeum atcc 11539,GH12,3.2.1.4,AEJ35167.1,F8T946,
59,humicola grisea atcc 22081,GH12,3.2.1.4,AAM77714.2,Q8NJY3,"1OLR[A], 1UU4[A], 1UU5[A], 1UU6[A], 1W2U[A]"
60,hypocrea schweinitzii atcc 66965,GH12,3.2.1.4,AAM77711.1,Q8NJY6,"1OA3[A,B,C,D]"
61,penicillium oxalicum 114-2,GH12,3.2.1.4,EPS31484.1,S7ZMB4,
62,phanerochaete chrysosporium k3,GH12,3.2.1.4,AAU12276.1,Q66NB6,
63,polyporus arcularius 69b-8,GH12,3.2.1.4,BAD98315.1,Q50LE3,
64,postia placenta mad-698-r,GH12,3.2.1.4,ADH51731.1,D7REW4,
65,stachybotrys chartarum cect 20565 / stachybotrys atra bp-a,GH12,3.2.1.4,CAL48345.1,Q08HM8,
66,stachybotrys echinatus cbs 304.54,GH12,3.2.1.4,AAM77710.1,Q8NJY7,
67,talaromyces amestolkiae cib,GH12,3.2.1.4,ATY39123.1,A0A2H4R494,
68,trichoderma harzianum ioc-3844,GH12,3.2.1.4,AFK32784.1,I3RY46,"4H7M[A,B]"
69,trichoderma koningii atcc 2613,GH12,3.2.1.4,AAM77712.1,Q8NJY5,
70,trichoderma reesei qm9414,GH12,3.2.1.4,AAE59774.1,O00095,"1H8V[A,B,C,D,E,F], 1OA2[A,B,C,D,E,F], 1OLQ[A,B]"
71,trichoderma viride atcc 26802,GH12,3.2.1.4,AAM77713.1,Q8NJY4,
