Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
55,hahella chejuensis kctc 2396,GH5_2,3.2.1.4,ABC30636.1,Q2SFD8,
56,halalkalibacter akibai / ksm-1139,GH5_2,3.2.1.4,BAA00045.1,P06564,
57,halalkalibacter akibai i-1,GH5_2,3.2.1.4,AFI25187.1,I1V1X7,
58,microbulbifer sp. alw1,GH5_2,3.2.1.4,QSR83793.1,A0A8A1G1R1,
59,paenibacillus polymyxa gs01,GH5_2,3.2.1.4,ABV08875.1,A9Q741,
60,pectobacterium carotovorum atroseptica,GH5_2,3.2.1.4,AAC37033.1,Q59394,
61,pectobacterium carotovorum scc3193,GH5_2,3.2.1.4,CAA55823.1,Q59395,
62,pectobacterium carotovorum scri193,GH5_2,3.2.1.4,CAA53592.1,Q47096,
63,pectobacterium carotovorum subsp. carotovorum ly34,GH5_2,3.2.1.4,AAC02964.2,O31029,
64,priestia megaterium l103,GH5_2,3.2.1.4,AGG91154.1,V5JAY7,
65,pseudoalteromonas haloplanktis a23,GH5_2,3.2.1.4,CAA76775.1,O86099,"1TVN[A,B], 1TVP[A,B]"
66,pseudoalteromonas sp. mb-1,GH5_2,3.2.1.4,AAS58467.1,Q6QA02,
67,pseudoalteromonas sp. no3,GH5_2,3.2.1.4,ACN62172.1,C0KZC4,
68,pseudomonas sp. nd137,GH5_2,3.2.1.4,BAB79288.1,Q8VUT3,
69,psychrophilic marine bacterium dy3,GH5_2,3.2.1.4,AAP04424.1,Q841J5,
70,ruminiclostridium cellulolyticum h10,GH5_2,3.2.1.4,ACL74811.1,B8I5Z4,
71,ruminiclostridium josui ferm p-9684,GH5_2,3.2.1.4,BAA12826.1,Q59290,
72,ruminococcus albus,GH5_2,3.2.1.4,BAA32286.1,Q07940,
73,saccharophagus degradans 2-40,GH5_2,3.2.1.4,ABD81754.1,Q21HS5,
74,saccharophagus degradans 2-40,GH5_2,3.2.1.4,ABD82260.1,Q21GB9,
75,saccharophagus degradans 2-40,GH5_2,3.2.1.4,ABD82494.1,Q21FN5,
76,saccharophagus degradans 2-40,GH5_2,3.2.1.4,ABD82496.1,Q21FN3,
77,saccharophagus sp. myt-1,GH5_2,3.2.1.4,BAM21527.1,I4DUD7,
78,salipaludibacillus agaradhaerens,GH5_2,3.2.1.4,AAC19169.1,O85465,"1A3H[A], 1E5J[A], 1H11[A], 1H2J[A], 1H5V[A], 1HF5[A], 1HF6[A], 1HF7[A], 1OCQ[A], 1QHZ[A], 1QI0[A], 1QI2[A], 1W3K[A], 1W3L[A], 2A3H[A], 2V38[A], 3A3H[A], 4A3H[A], 5A3H[A], 6A3H[A], 7A3H[A], 8A3H[A]"
79,streptomyces bacillaris atcc 15855,GH5_2,3.2.1.4,ULR56997.1,,
80,streptomyces lividans 1326,GH5_2,3.2.1.4,,P27035,
81,teredinibacter turnerae t7901,GH5_2,3.2.1.4,ABS72374.1,A9Q634,
82,thermoanaerobacterium sp. a57txylan,GH5_2,3.2.1.4,ALX38276.1,A0A0U4EBH5,"5FIP[A,B,C,D]"
83,thermobifida fusca yx,GH5_2,3.2.1.4,AAZ54939.1,Q01786,"2CKR[A,B], 2CKS[A,B]"
84,thermobifida halotolerans yim 90462,GH5_2,3.2.1.4,AFK65733.1,I3UJS1,
85,vibrio xiamenensis g21,GH5_2,3.2.1.4,ADJ93836.1,D8V609,
86,anoplophora chinensis,GH5_2,3.2.1.4,AFN89566.1,K4GMM5,
87,apriona germarii,GH5_2,3.2.1.4,AAX18655.1,Q5DIE3,
88,apriona japonica,GH5_2,3.2.1.4,AHI15751.1,X2D6U4,
89,globodera rostochiensis ro-1,GH5_2,3.2.1.4,AAN03645.1,Q8MM42,
90,globodera rostochiensis ro-1,GH5_2,3.2.1.4,AAN03647.1,Q8MM50,
91,globodera rostochiensis ro-1,GH5_2,3.2.1.4,AAC63988.1,O16028,
92,globodera rostochiensis ro-1,GH5_2,3.2.1.4,AAC48341.1,O44078,
93,heterodera avenae,GH5_2,3.2.1.4,ACO55952.1,D5FQ93,
94,heterodera glycines,GH5_2,3.2.1.4,AAC15707.1,O18453,
95,heterodera glycines,GH5_2,3.2.1.4,AAC48326.1,O18454,
96,heterodera glycines,GH5_2,3.2.1.4,AAC33848.1,O77449,
97,meloidogyne incognita,GH5_2,3.2.1.4,AAD45868.1,Q9UA57,
98,meloidogyne incognita,GH5_2,3.2.1.4,AAK21883.2,Q9BJZ0,
99,meloidogyne incognita,GH5_2,3.2.1.4,AAK21882.1,Q9BJZ1,
100,meloidogyne incognita,GH5_2,3.2.1.4,AAK21881.1,Q9BJZ2,
101,orpinomyces joyonii 19-2,GH5_2,3.2.1.4,AAC49731.1,P87211,
102,psacothea hilaris,GH5_2,3.2.1.4,BAB86867.1,Q8T890,
103,spirotrichonympha leidyi,GH5_2,3.2.1.4,BAD90558.1,Q5DWF1,
