#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CBM3.hmm             -             88 ACM60948.1           -           1904   1.9e-57  187.7  17.1   3   4     7e-32     2e-29   97.8   0.9     2    88  1062  1142  1061  1142 0.98 -
CBM3.hmm             -             88 ACM60948.1           -           1904   1.9e-57  187.7  17.1   4   4      0.33        96   -0.5   0.1    39    74  1163  1199  1154  1205 0.61 -
GH48.hmm             -            611 ACM60945.1           -           1478  7.3e-305 1008.1  33.8   1   1  6.2e-307  1.4e-304 1007.2  33.8     1   611   853  1474   853  1474 0.99 -
GH10.hmm             -            303 ACM60945.1           -           1478    9e-118  388.6   0.9   1   1  7.9e-120  1.7e-117  387.7   0.9     2   303    45   372    44   372 0.94 -
CBM3.hmm             -             88 ACM60945.1           -           1478   1.1e-56  185.2  20.3   1   5   6.9e-32   1.5e-29   98.2   0.9     2    88   437   517   436   517 0.98 -
CBM3.hmm             -             88 ACM60945.1           -           1478   1.1e-56  185.2  20.3   2   5       0.3        67    0.0   0.1    39    75   538   575   530   580 0.58 -
CBM3.hmm             -             88 ACM60945.1           -           1478   1.1e-56  185.2  20.3   3   5   6.9e-32   1.5e-29   98.2   0.9     2    88   636   716   635   716 0.98 -
CBM3.hmm             -             88 ACM60945.1           -           1478   1.1e-56  185.2  20.3   4   5      0.61   1.3e+02   -1.0   0.1    39    74   737   773   729   779 0.59 -
CBM3.hmm             -             88 ACM60945.1           -           1478   1.1e-56  185.2  20.3   5   5         4   8.6e+02   -3.6   0.1    50    81  1078  1102  1070  1104 0.64 -
GH5_57.hmm           -            297 ACM60945.1           -           1478   5.7e-06   21.5   0.2   1   1     5e-08   1.1e-05   20.6   0.2    38   116   104   180   100   207 0.82 -
GH48.hmm             -            611 WAM33661.1           -           1809  5.4e-304 1005.3  34.5   1   1    8e-306  5.4e-304 1005.3  34.5     1   611  1184  1805  1184  1805 0.99 -
GH5_8.hmm            -            255 WAM33661.1           -           1809  8.6e-100  329.1   2.0   1   1  2.7e-101   1.8e-99  328.0   2.0    11   254   302   546   298   547 0.98 -
CBM3.hmm             -             88 WAM33661.1           -           1809   5.2e-69  224.7  15.8   1   4   2.5e-30   1.7e-28   94.8   0.2     2    88   621   701   620   701 0.98 -
CBM3.hmm             -             88 WAM33661.1           -           1809   5.2e-69  224.7  15.8   2   4         3     2e+02   -1.5   0.1    34    73   719   757   710   764 0.64 -
CBM3.hmm             -             88 WAM33661.1           -           1809   5.2e-69  224.7  15.8   3   4   3.4e-22   2.3e-20   68.8   0.8     2    88   835   914   834   914 0.95 -
CBM3.hmm             -             88 WAM33661.1           -           1809   5.2e-69  224.7  15.8   4   4     3e-22     2e-20   69.0   0.7     2    88   986  1065   985  1065 0.95 -
GH12.hmm             -            156 WAM33661.1           -           1809   6.9e-41  135.7   4.5   1   2     1e-42   6.9e-41  135.7   4.5     1   156   119   267   119   267 0.95 -
GH12.hmm             -            156 WAM33661.1           -           1809   6.9e-41  135.7   4.5   2   2       2.6   1.7e+02   -2.1   0.3    47    67   755   775   708   787 0.61 -
GH5_55.hmm           -            256 WAM33661.1           -           1809   6.4e-40  132.7   1.3   1   1   1.9e-41   1.3e-39  131.8   1.3    10   249   302   539   298   544 0.88 -
GH5_5.hmm            -            282 WAM33661.1           -           1809   2.3e-16   55.6   0.9   1   2   5.7e-17   3.8e-15   51.6   1.3    81   200   363   480   346   537 0.83 -
GH5_5.hmm            -            282 WAM33661.1           -           1809   2.3e-16   55.6   0.9   2   2      0.39        26   -0.4   0.0    34   114  1177  1259  1158  1263 0.82 -
GH5_46.hmm           -            262 WAM33661.1           -           1809     7e-15   50.8   1.1   1   2      0.32        22    0.1   0.0    21    39   320   338   311   364 0.78 -
GH5_46.hmm           -            262 WAM33661.1           -           1809     7e-15   50.8   1.1   2   2   7.4e-16     5e-14   48.1   0.7   109   254   384   537   379   542 0.83 -
GH5_4.hmm            -            276 WAM33661.1           -           1809   6.9e-14   47.9   1.2   1   1   6.7e-15   4.5e-13   45.2   1.2    15   273   320   536   308   540 0.76 -
GH5_25.hmm           -            279 WAM33661.1           -           1809   2.4e-11   39.0   0.1   1   2   7.6e-12   5.1e-10   34.6   0.1    58   193   344   487   309   498 0.79 -
GH5_25.hmm           -            279 WAM33661.1           -           1809   2.4e-11   39.0   0.1   2   2     0.056       3.8    2.2   0.0   227   258   492   526   480   539 0.60 -
GH5_39.hmm           -            312 WAM33661.1           -           1809     1e-09   33.9   0.0   1   1   3.8e-11   2.6e-09   32.6   0.0    24   187   320   479   309   482 0.80 -
GH5_48.hmm           -            322 WAM33661.1           -           1809   0.00019   16.3   0.5   1   1   0.00017     0.012   10.4   0.5   105   224   384   487   379   496 0.76 -
GH5_37.hmm           -            308 WAM33661.1           -           1809   0.00031   15.8   0.2   1   1   1.1e-05   0.00072   14.6   0.2    23   164   321   449   313   488 0.79 -
GH5_13.hmm           -            269 WAM33661.1           -           1809    0.0015   13.4   0.1   1   2       2.3   1.6e+02   -3.1   0.0    12    39   310   337   305   343 0.80 -
GH5_13.hmm           -            269 WAM33661.1           -           1809    0.0015   13.4   0.1   2   2   7.1e-05    0.0048   11.7   0.0   133   261   404   536   376   541 0.64 -
GH48.hmm             -            611 AAB00822.1           -           1090  7.6e-298  985.0  28.4   1   1  8.5e-300  1.5e-297  984.0  28.4     1   611    59   691    59   691 0.98 -
GH119.hmm            -           1070 AAB00822.1           -           1090   1.4e-86  286.7  82.2   1   3   4.4e-35   7.7e-33  108.8  21.9   793   902   682   791   656   793 0.91 -
GH119.hmm            -           1070 AAB00822.1           -           1090   1.4e-86  286.7  82.2   2   3   1.9e-30   3.2e-28   93.5  19.8   809   901   792   886   789   890 0.92 -
GH119.hmm            -           1070 AAB00822.1           -           1090   1.4e-86  286.7  82.2   3   3   2.7e-31   4.7e-29   96.3  26.4   809   911   889   996   885  1052 0.86 -
CBM2.hmm             -            101 AAB00822.1           -           1090   1.3e-34  114.5  16.3   1   8       2.6   4.5e+02   -2.8   0.7    42    74   271   303   266   318 0.65 -
CBM2.hmm             -            101 AAB00822.1           -           1090   1.3e-34  114.5  16.3   2   8      0.91   1.6e+02   -1.4   2.5    30    82   389   443   356   454 0.77 -
CBM2.hmm             -            101 AAB00822.1           -           1090   1.3e-34  114.5  16.3   3   8     0.066        12    2.3   0.6    23    87   509   573   504   583 0.64 -
CBM2.hmm             -            101 AAB00822.1           -           1090   1.3e-34  114.5  16.3   4   8       1.2   2.1e+02   -1.7   2.7    40    92   746   799   716   810 0.64 -
CBM2.hmm             -            101 AAB00822.1           -           1090   1.3e-34  114.5  16.3   5   8      0.78   1.4e+02   -1.1   1.8    51    76   848   879   802   899 0.55 -
CBM2.hmm             -            101 AAB00822.1           -           1090   1.3e-34  114.5  16.3   6   8       3.8   6.7e+02   -3.3   3.5    57    85   860   888   843   947 0.59 -
CBM2.hmm             -            101 AAB00822.1           -           1090   1.3e-34  114.5  16.3   7   8       1.4   2.4e+02   -1.9   1.9    44    70   938   970   902   987 0.52 -
CBM2.hmm             -            101 AAB00822.1           -           1090   1.3e-34  114.5  16.3   8   8   7.4e-37   1.3e-34  114.5  16.3     1   101   990  1089   990  1089 0.99 -
CBM37.hmm            -             62 AAB00822.1           -           1090     0.028   10.3  23.7   1   3      0.01       1.8    4.6   4.1     8    58   719   768   715   770 0.84 -
CBM37.hmm            -             62 AAB00822.1           -           1090     0.028   10.3  23.7   2   3   0.00094      0.16    7.9   0.9     3    61   807   867   805   868 0.84 -
CBM37.hmm            -             62 AAB00822.1           -           1090     0.028   10.3  23.7   3   3    0.0019      0.33    6.9   3.8     6    60   908   963   904   964 0.84 -
CBM56.hmm            -            159 AAB00822.1           -           1090       6.4    2.5  81.0   1   5       3.3   5.7e+02   -3.8   1.2    20    56     9    46     3    70 0.56 -
CBM56.hmm            -            159 AAB00822.1           -           1090       6.4    2.5  81.0   2   5       2.9     5e+02   -3.7   2.5    37    67   701   731   688   751 0.62 -
CBM56.hmm            -            159 AAB00822.1           -           1090       6.4    2.5  81.0   3   5   0.00024     0.042    9.6  15.8     1    71   752   824   752   847 0.81 -
CBM56.hmm            -            159 AAB00822.1           -           1090       6.4    2.5  81.0   4   5   0.00044     0.076    8.8  12.2     2    40   849   887   848   943 0.69 -
CBM56.hmm            -            159 AAB00822.1           -           1090       6.4    2.5  81.0   5   5   5.3e-05    0.0094   11.7  18.4     1    76   945  1042   945  1076 0.72 -
GH48.hmm             -            611 ACZ98592.1           -            894  9.8e-267  882.2  33.6   1   1  2.8e-269  1.2e-266  881.9  33.6     1   610    35   661    35   662 0.97 -
CBM2.hmm             -            101 ACZ98592.1           -            894       2.9    4.2  26.0   1   5       1.1   4.9e+02   -2.9   0.2    43    70   244   271   239   288 0.60 -
CBM2.hmm             -            101 ACZ98592.1           -            894       2.9    4.2  26.0   2   5      0.07        31    0.9   0.2    46    77   496   526   475   546 0.72 -
CBM2.hmm             -            101 ACZ98592.1           -            894       2.9    4.2  26.0   3   5   7.1e-05     0.031   10.6   3.5    19    96   685   761   680   766 0.84 -
CBM2.hmm             -            101 ACZ98592.1           -            894       2.9    4.2  26.0   4   5    0.0035       1.5    5.1   3.8    13    84   785   852   780   867 0.86 -
CBM2.hmm             -            101 ACZ98592.1           -            894       2.9    4.2  26.0   5   5      0.22        98   -0.7   0.1    19    53   844   874   842   887 0.68 -
GH48.hmm             -            611 AAC38571.3           -            727  3.3e-282  933.3  39.2   1   1  8.6e-285  3.8e-282  933.1  39.2     1   611    41   663    41   663 0.98 -
dockerin.hmm         -             21 AAC38571.3           -            727   7.8e-17   56.1  10.1   1   2   3.1e-11   1.4e-08   30.1   1.7     1    21   674   694   674   694 0.98 -
dockerin.hmm         -             21 AAC38571.3           -            727   7.8e-17   56.1  10.1   2   2   2.5e-11   1.1e-08   30.4   1.6     1    21   706   726   706   726 0.97 -
GH48.hmm             -            611 AGF55628.1           -            741  3.5e-282  933.2  42.7   1   1  1.4e-284    4e-282  933.0  42.7     1   610    45   672    45   673 0.96 -
dockerin.hmm         -             21 AGF55628.1           -            741   4.2e-09   31.7   4.3   1   2   1.1e-06   0.00031   16.3   0.2     1    21   686   706   686   706 0.98 -
dockerin.hmm         -             21 AGF55628.1           -            741   4.2e-09   31.7   4.3   2   2   1.1e-06   0.00031   16.3   0.5     1    21   718   738   718   738 0.93 -
GH124.hmm            -            332 AGF55628.1           -            741   1.8e-05   19.7   0.2   1   1   1.2e-07   3.4e-05   18.8   0.2    32    93   680   738   668   740 0.89 -
GH48.hmm             -            611 ABC29272.1           -            952  9.8e-278  918.5  33.0   1   1  2.8e-280  1.2e-277  918.2  33.0     1   611    37   665    37   665 0.99 -
CBM2.hmm             -            101 ABC29272.1           -            952   2.2e-23   78.5  12.2   1   3      0.25   1.1e+02   -0.8   0.0    31    66   708   734   686   763 0.41 -
CBM2.hmm             -            101 ABC29272.1           -            952   2.2e-23   78.5  12.2   2   3     0.049        21    1.4   0.2    35    84   744   792   721   805 0.66 -
CBM2.hmm             -            101 ABC29272.1           -            952   2.2e-23   78.5  12.2   3   3   6.4e-26   2.8e-23   78.1   6.5     6    94   864   950   860   952 0.92 -
GH48.hmm             -            611 ABX43721.1           -            919  2.5e-289  956.8  36.0   1   1  1.1e-291  3.1e-289  956.5  36.0     1   610    49   662    49   663 0.99 -
CBM3.hmm             -             88 ABX43721.1           -            919   4.7e-31  103.0   2.8   1   2       0.7     2e+02   -1.6   0.1    37    54   464   481   458   496 0.77 -
CBM3.hmm             -             88 ABX43721.1           -            919   4.7e-31  103.0   2.8   2   2   2.2e-33   6.4e-31  102.6   0.5     1    88   775   856   775   856 0.99 -
CBM46.hmm            -             87 ABX43721.1           -            919   9.7e-12   40.7   1.0   1   2   3.3e-14   9.7e-12   40.7   1.0    12    79   688   750   680   756 0.94 -
CBM46.hmm            -             87 ABX43721.1           -            919   9.7e-12   40.7   1.0   2   2       1.4   4.1e+02   -3.0   0.0    61    81   842   861   837   862 0.75 -
GH48.hmm             -            611 ABD64772.1           -            717  2.7e-243  804.8  34.1   1   2  6.5e-212  5.7e-209  691.4  30.6     2   451    17   476    16   483 0.97 -
GH48.hmm             -            611 ABD64772.1           -            717  2.7e-243  804.8  34.1   2   2   2.9e-37   2.6e-34  114.5   0.1   448   611   503   713   494   713 0.84 -
GH48.hmm             -            611 CAD32945.1           -           1091  1.1e-230  763.1  36.1   1   2    5e-206  1.1e-203  674.0  31.8     3   451    50   508    48   521 0.97 -
GH48.hmm             -            611 CAD32945.1           -           1091  1.1e-230  763.1  36.1   2   2   1.5e-29   3.3e-27   91.0   0.1   451   611   539   745   529   745 0.82 -
CBM3.hmm             -             88 CAD32945.1           -           1091   1.1e-28   95.5   1.1   1   2      0.77   1.7e+02   -1.3   0.0    32    59   816   842   783   862 0.61 -
CBM3.hmm             -             88 CAD32945.1           -           1091   1.1e-28   95.5   1.1   2   2   2.3e-30   5.1e-28   93.3   0.2     1    88   946  1027   946  1027 0.98 -
GH119.hmm            -           1070 CAD32945.1           -           1091   2.4e-08   27.7  41.9   1   2     4e-10   8.7e-08   25.9  16.3   810   905   752   849   736   854 0.80 -
GH119.hmm            -           1070 CAD32945.1           -           1091   2.4e-08   27.7  41.9   2   2   0.00019     0.041    7.1  18.9   816   914   848   952   845   987 0.69 -
CBM37.hmm            -             62 CAD32945.1           -           1091   0.00031   16.6   4.1   1   5       2.7   5.8e+02   -3.5   0.2    30    43   697   710   692   715 0.77 -
CBM37.hmm            -             62 CAD32945.1           -           1091   0.00031   16.6   4.1   2   5      0.61   1.3e+02   -1.4   0.0    13    23   730   740   727   742 0.94 -
CBM37.hmm            -             62 CAD32945.1           -           1091   0.00031   16.6   4.1   3   5   1.4e-06   0.00031   16.6   4.1     6    60   769   826   765   828 0.89 -
CBM37.hmm            -             62 CAD32945.1           -           1091   0.00031   16.6   4.1   4   5     0.025       5.6    3.0   3.0     6    60   861   917   858   919 0.74 -
CBM37.hmm            -             62 CAD32945.1           -           1091   0.00031   16.6   4.1   5   5       1.7   3.7e+02   -2.9   0.3    30    44  1051  1065  1046  1079 0.67 -
GH48.hmm             -            611 ACL75108.1           -            722  2.7e-293  969.9  34.9   1   1  1.1e-295  3.2e-293  969.7  34.9     1   611    38   655    38   655 0.99 -
dockerin.hmm         -             21 ACL75108.1           -            722   3.5e-14   47.8   9.9   1   2   2.6e-11   7.6e-09   30.9   0.9     1    21   667   687   667   687 0.98 -
dockerin.hmm         -             21 ACL75108.1           -            722   3.5e-14   47.8   9.9   2   2   3.6e-08   1.1e-05   21.0   2.4     1    21   699   719   699   719 0.97 -
GH124.hmm            -            332 ACL75108.1           -            722   0.00043   15.2   0.3   1   1   3.5e-06     0.001   13.9   0.3    36    94   665   720   654   722 0.86 -
GH48.hmm             -            611 AAD39947.1           -            984  1.7e-287  950.8  19.4   1   1  5.6e-290  2.5e-287  950.2  19.4     1   611   344   978   344   978 0.98 -
CBM2.hmm             -            101 AAD39947.1           -            984   7.4e-36  118.5   8.8   1   4   1.7e-38   7.4e-36  118.5   8.8     1   101    38   138    38   138 0.99 -
CBM2.hmm             -            101 AAD39947.1           -            984   7.4e-36  118.5   8.8   2   4     0.004       1.8    4.9   1.4    14    69   253   305   247   335 0.62 -
CBM2.hmm             -            101 AAD39947.1           -            984   7.4e-36  118.5   8.8   3   4       1.2   5.3e+02   -3.0   0.0    76    91   498   511   488   518 0.72 -
CBM2.hmm             -            101 AAD39947.1           -            984   7.4e-36  118.5   8.8   4   4      0.69     3e+02   -2.2   0.1    46    71   818   842   801   866 0.63 -
GH48.hmm             -            611 CAA93280.1           -            914  3.9e-297  982.6  25.5   1   1  1.6e-299  4.8e-297  982.3  25.5     1   610    40   653    40   654 0.99 -
CBM3.hmm             -             88 CAA93280.1           -            914   8.3e-31  102.3   1.3   1   2       1.7   4.8e+02   -2.7   0.0    37    56   456   477   445   495 0.68 -
CBM3.hmm             -             88 CAA93280.1           -            914   8.3e-31  102.3   1.3   2   2   8.4e-33   2.4e-30  100.8   0.3     2    88   771   851   770   851 0.98 -
CBM46.hmm            -             87 CAA93280.1           -            914   6.3e-12   41.3   0.2   1   1   4.8e-14   1.4e-11   40.2   0.2    12    85   675   743   672   745 0.93 -
GH48.hmm             -            611 AEX92722.1           -            755    1e-265  878.8  30.3   1   1  4.1e-268  1.2e-265  878.6  30.3     1   608    29   648    29   651 0.98 -
fungi_doc.hmm        -             36 AEX92722.1           -            755   1.4e-29   98.3  30.7   1   2     9e-18   2.6e-15   52.6  12.0     4    36   673   705   668   705 0.91 -
fungi_doc.hmm        -             36 AEX92722.1           -            755   1.4e-29   98.3  30.7   2   2   6.5e-17   1.9e-14   49.9  10.6     4    35   719   750   714   751 0.84 -
CBM10.hmm            -             28 AEX92722.1           -            755     0.089    8.8  34.2   1   3      0.77   2.2e+02   -2.1   1.3    17    22   441   446   435   447 0.85 -
CBM10.hmm            -             28 AEX92722.1           -            755     0.089    8.8  34.2   2   3   0.00032     0.094    8.7   8.4    14    27   681   703   675   703 0.78 -
CBM10.hmm            -             28 AEX92722.1           -            755     0.089    8.8  34.2   3   3   3.7e-05     0.011   11.7   9.2     6    27   720   749   718   749 0.87 -
#
# Program:         hmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      GH48.faa
# Target file:     /home/ubuntu/storage/thesis/data/dbcan/dbCAN.hmm
# Option settings: /tmp/tmpcwsz1_83_hmmscan --domtblout GH48_dom.tbl --cpu 8 /home/ubuntu/storage/thesis/data/dbcan/dbCAN.hmm GH48.faa 
# Current dir:     /home/ubuntu/storage/thesis/GH_families/preparing_hmmer_profiles
# Date:            Sat Apr 18 11:00:47 2026
# [ok]
